id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
21633229,Masterbedroom-elegant and quality place in Toronto,157408457,Lisa & Benson,,York University Heights,43.75246578005136,-79.50941464503799,Private room,40,1,2,2018-02-03,0.71,3,115
23226743,A3-Big room (high ceiling & walk-in to backyard),170643172,Cozy Hostel,,York University Heights,43.752528724990405,-79.50334807454446,Private room,26,7,1,2018-04-07,1,7,249
21759851,Guest Home in the neighbourhood of York University,154736187,Lien,,York University Heights,43.75298503334129,-79.4991906870862,Private room,58,1,1,2017-12-24,0.28,4,0
22924319,"A simple, cozy, clean room in North York Toronto",157408457,Lisa & Benson,,York University Heights,43.751350719280516,-79.50813404650926,Private room,29,1,10,2018-03-18,4.11,3,150
21394761,A clean bright room,149149684,Walid,,York University Heights,43.74527032886472,-79.497057448727,Private room,26,3,0,,,2,365
23005320,C2-Cozy Room (Finch West Subway & York University),170643172,Cozy Hostel,,York University Heights,43.75139764006833,-79.50395129006074,Private room,26,7,2,2018-03-31,1.36,7,249
22432823,Private Family Room with separate entrance,154736187,Lien,,York University Heights,43.75146523254888,-79.49935007905238,Private room,40,1,0,,,4,0
17763478,Master Bedroom near York University for clean peop,121230803,Dogan,,York University Heights,43.758900692352796,-79.49248445496531,Private room,45,3,5,2017-09-24,0.43,2,89
17445116,Charming Modern Minimalist Bedroom in North York,118057561,Jacqueline,,York University Heights,43.76343066284818,-79.50495949961953,Private room,26,1,4,2018-03-29,1.30,1,0
6831764,(3) Cozy Room near York University Toronto,24346665,Shanny,,York University Heights,43.76873811567582,-79.49713236964814,Private room,40,3,17,2017-10-01,0.53,8,268
7859654,"Sunny Rooms w/pvt. bath, minifridge",40821346,Y,,York University Heights,43.76640295771682,-79.4965311212926,Private room,45,1,1,2016-05-04,0.04,1,0
6849285,(5) Comfy Room near York University Toronto,24346665,Shanny,,York University Heights,43.769577127077646,-79.50047690598653,Private room,40,3,14,2018-03-25,0.51,8,0
22268881,Comfy Private Bedroom @Heart of Toronto,71105896,Paul,,York University Heights,43.76321608967698,-79.50390869685039,Private room,97,1,0,,,2,174
6831843,(6) Comfy Room near York University Toronto,24346665,Shanny,,York University Heights,43.7694290689735,-79.5005217832784,Private room,40,2,9,2017-07-20,0.31,8,229
4747093,"Light and Airy, Clean Uptown Room",2226351,Simona,,York University Heights,43.75131011828878,-79.46336043886515,Private room,40,2,0,,,1,0
6849452,(8) Bright room with balcony @ York Uni Toronto,24346665,Shanny,,York University Heights,43.76855973012424,-79.50191909853885,Private room,40,2,6,2017-08-28,0.29,8,242
13449697,Art Galleria Abode,76797382,Jaime,,York University Heights,43.76574803914951,-79.50635996423948,Private room,50,2,0,,,1,90
11274162,Private room with shared common space near York U,39837150,Kevin,,York University Heights,43.76595299434644,-79.5027673771697,Private room,89,2,0,,,4,365
22089059,York U Townhouse Next to TTC,40322915,Stephanie,,York University Heights,43.7633602537187,-79.49914379396606,Private room,69,1,0,,,2,219
22048823,Spacious Comfortable Basement in North York,161033145,Pradeep,,York University Heights,43.75029472670654,-79.48960610370244,Entire home/apt,75,2,13,2018-04-01,3.86,1,80
17668748,Brand new bachelor apartment in Toronto!,69450805,Rahwa,,York University Heights,43.74863598695405,-79.49081405444682,Entire home/apt,75,4,74,2018-03-21,5.72,2,66
20802530,"Very unique stylish that has all, EV charger and..",149149684,Walid,,York University Heights,43.74551673536739,-79.4968252647019,Entire home/apt,150,2,5,2018-04-03,1.65,2,115
