id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
25191025,Twin Room (RM B01) in Luxury Twon next to Eaton!,175695432,Naidan,,Church-Yonge Corridor,43.660561307271315,-79.37752187346715,Private room,79,1,2,2018-06-19,0.39,5,354
25191055,Executive Condo | Dream Views-Heart of TO!!,24130906,Iza,,Waterfront Communities-The Island,43.64335449376524,-79.38156068513277,Entire home/apt,250,2,25,2018-10-28,4.72,2,175
25191208,202,178254912,Joyce,,Don Valley Village,43.785826165327066,-79.34292343234532,Private room,75,2,0,,,2,174
25191277,201,178254912,Joyce,,Don Valley Village,43.78496105918696,-79.34312332232939,Private room,75,1,1,2018-06-05,0.19,2,361
25191874,Spacious Converted Factory Loft in Roncesvalles,71021657,Cynthia,,Roncesvalles,43.65161804391204,-79.44560174467378,Entire home/apt,115,2,7,2018-10-28,1.23,1,170
25192161,Toronto - Bloor West cozy 1 bedroom condo,150609715,Aleksandar,,Islington-City Centre West,43.63968431141852,-79.53619725655558,Entire home/apt,69,2,9,2018-09-09,1.59,1,94
25193019,LUXURIOUS PRIVATE ROOM NEAR SUBWAY & YORK UNIV.,190361034,Vicky,,York University Heights,43.76354972664646,-79.50354063503437,Private room,85,1,2,2018-09-03,0.65,1,89
25203073,Comfy 1Br Condo in Downtown Core by Eaton Center,185939056,Your VIP Group,,Church-Yonge Corridor,43.65599394485477,-79.37494403023044,Entire home/apt,159,1,18,2018-10-14,3.35,4,99
25208606,Modern Downtown Studio,18942204,Todd,,Annex,43.66981914844994,-79.40608501532972,Entire home/apt,66,1,63,2018-10-27,12.04,5,232
25209784,Couples Retreat,27661179,Marco,,Little Portugal,43.64636177846919,-79.42354574856158,Entire home/apt,149,2,32,2018-10-28,5.89,1,63
25211839,Very large room (attached washroom) by UFT Toronto,131082724,Laura,,University,43.660978741741935,-79.40309309169601,Private room,79,1,27,2018-09-09,4.79,21,0
25212184,Luxury and Spacious Detached House,187149540,Trieu Tay,,Lawrence Park South,43.717477119057676,-79.40112085442301,Entire home/apt,350,2,19,2018-10-26,3.50,1,156
25212559,Elegant 2 Bedroom Condo Downtown Toronto,115442293,Maya,,Waterfront Communities-The Island,43.637996630182876,-79.39817946921973,Entire home/apt,295,3,0,,,10,8
25213034,Private Suite Downtown Toronto,115442293,Maya,,Waterfront Communities-The Island,43.63936119987339,-79.3998304968462,Private room,148,3,2,2018-08-17,0.41,10,18
25213036,Private Room Downtown Toronto,115442293,Maya,,Waterfront Communities-The Island,43.638371164915,-79.39908670250809,Private room,126,3,0,,,10,348
25224243,"温馨宽敞的大床房间,门口TTC直通地铁",190585620,Lulu,,Parkwoods-Donalda,43.766417403072374,-79.32948850819804,Private room,41,1,3,2018-08-31,0.66,4,28
25225091,Mid town luxury suite,112432979,Sarah,,Lawrence Park North,43.72585120759368,-79.40248336539028,Private room,90,1,0,,,1,0
25228070,Steps From Rogers Centre - Entertainment District!,103227406,Emanuel,,Waterfront Communities-The Island,43.6405677854232,-79.39488591503684,Entire home/apt,75,2,17,2018-10-22,3.27,2,85
25228126,Presidential 3Br + Den suite next to Air Canada Ct,135718015,Amir,,Waterfront Communities-The Island,43.64219175993222,-79.38139256331534,Entire home/apt,499,2,6,2018-09-04,1.16,13,250
25228307,This place currently not Available,135756954,Anna,,Old East York,43.693865453728115,-79.33070249439587,Private room,80,1,0,,,2,179
25228863,"Fabulous Modern Condo by the Lake, CN Tower",34298103,Nikita,,Waterfront Communities-The Island,43.64301318318704,-79.38167919244748,Entire home/apt,184,2,29,2018-10-28,5.37,1,55
25230827,LOFT 2bd Kensington Mkt-STUNNING Views - 403,55175789,Ben,,Kensington-Chinatown,43.65700503229252,-79.40173248758398,Entire home/apt,275,2,19,2018-10-19,3.96,24,159
25231743,ChatEau - 1Br Queen W Sun Filled Suite - Location!,190640082,Rose,,Bay Street Corridor,43.65404377895408,-79.3827835733591,Entire home/apt,295,3,0,,,1,179
25232133,2 Storey Loft Kensington Mkt Stunning Views - 405,55175789,Ben,,Kensington-Chinatown,43.6568536698668,-79.40322474411983,Entire home/apt,266,2,25,2018-10-21,5.28,24,171
25232256,Light Filled Studio Apt w CN Tower Views - 306,55175789,Ben,,Kensington-Chinatown,43.65611794387922,-79.40274585917258,Entire home/apt,208,2,19,2018-10-15,3.83,24,174
25233526,"3.5 BDRM + 2 Bath + Parking - MTCC, CN, Waterfront",190278133,Morgan,,Waterfront Communities-The Island,43.64223927062276,-79.38263127587204,Entire home/apt,399,1,24,2018-10-11,4.65,2,104
25234188,Elegant 2 bedroom unit with views of CN Tower,1989442,Indrit,,Moss Park,43.65651646809721,-79.35493556032279,Entire home/apt,400,3,2,2018-07-29,0.52,2,0
25235175,Modern & Luxe Unit On Prestigious Yorkville,126947742,Ita,,Annex,43.6706874256574,-79.39360215233111,Entire home/apt,299,1,18,2018-09-21,3.23,7,106
25235915,Room #1 of Apt 3,151830841,Mon,,Weston-Pellam Park,43.66928091258235,-79.45701497654963,Private room,35,7,9,2018-10-28,1.71,10,364
25236528,Room #2 of Apt 3,151830841,Mon,,Weston-Pellam Park,43.67092963247539,-79.45856185416915,Private room,45,7,1,2018-06-12,0.20,10,365
25237505,Exclusive Private Lockable Room Near Airport,190691135,Lina,,Kingsview Village-The Westway,43.70429165488768,-79.551689686235,Private room,30,1,41,2018-10-21,7.55,1,63
25237696,Single room with breakfast,190694240,Di,,Bay Street Corridor,43.65176709450177,-79.38222879515668,Private room,35,3,0,,,1,0
25247414,RENOVATED STUDIO - Directly across HIGH PARK!,70551341,Louie,,High Park North,43.65451183378443,-79.46371875238955,Entire home/apt,66,2,14,2018-08-31,2.69,1,324
25250307,Spacious Downtown Bedroom,71394521,Logan,,University,43.6643168143179,-79.40416899196671,Private room,45,1,7,2018-11-01,1.30,2,0
25250722,Exclusive Home in Toronto's Finest Neighbourhood,77511468,Marianne,,Forest Hill South,43.6877609814666,-79.4144335740909,Entire home/apt,1350,7,0,,,2,173
25251010,6 Person 2 floor 3 br large downtown Victorian.,59920016,Liz,,South Parkdale,43.63440904664195,-79.43708475483025,Entire home/apt,189,2,7,2018-08-25,1.41,2,60
25251835,Bright and Cozy Room-Free WIFI,190585620,Lulu,,Parkwoods-Donalda,43.765903701800866,-79.32953989134835,Private room,35,1,3,2018-08-31,0.58,4,59
25252198,Large and Cozy basement Room with Private Washroom,190585620,Lulu,,Parkwoods-Donalda,43.76459085562077,-79.32953333054309,Private room,35,1,2,2018-07-26,0.42,4,63
25253946,BEST LOCATION & VALUE IN TORONTO - my home :),79755112,Kiran,,Kensington-Chinatown,43.6499105362573,-79.40372693535045,Entire home/apt,250,1,27,2018-09-02,5.16,1,0
25256468,Modern 1 Bedroom+Den with CN tower view,49288354,Sam,,Waterfront Communities-The Island,43.64232203939929,-79.38333618923289,Entire home/apt,160,1,1,2018-06-27,0.23,40,110
25257525,Picturesques 2 Bedroom Condo in Entertainment Dist,49288354,Sam,,Waterfront Communities-The Island,43.641669617049445,-79.3824602411196,Entire home/apt,250,2,6,2018-10-15,1.10,40,106
25258279,"两个带双人床的一楼房间,门口TTC直通地铁",190585620,Lulu,,Parkwoods-Donalda,43.764896425313886,-79.33068330933956,Private room,69,1,1,2018-08-06,0.33,4,338
25260120,Newly Reno'd Unit in the ♥ of the 6ix,29628921,Jeff,,Trinity-Bellwoods,43.65325003857942,-79.41299913146264,Private room,88,3,21,2018-10-30,4.60,2,260
25262246,Cozy house in Downtown Toronto,22289090,Mark,,Waterfront Communities-The Island,43.648693564185855,-79.36328768471711,Entire home/apt,110,1,10,2018-08-24,1.84,1,3
25264127,"Toronto Downtown, few blocks west of Rogers Center",190871685,George,,Waterfront Communities-The Island,43.6405633410974,-79.39900228130743,Entire home/apt,149,2,13,2018-10-14,2.91,1,12
25264458,Private Bedroom near Lawrence Subway Station,142672611,Peter,,Bedford Park-Nortown,43.71704863293634,-79.42668540975473,Private room,35,15,3,2018-09-15,0.63,2,117
25266223,Euclid Place - Full House - Amazing Location,156829209,Matt,,Annex,43.66745655656315,-79.41685322099067,Entire home/apt,299,2,15,2018-10-14,3.41,1,0
25266426,"Modern Suite + Balcony City, Sunset & Lake View",107718424,Sal,,Waterfront Communities-The Island,43.640681614411335,-79.39835213567508,Entire home/apt,201,4,19,2018-10-12,3.54,4,339
25266798,Room Super Comfy White Space - Little Jamaica,113147806,Tai,,Oakwood Village,43.69619996085416,-79.44102250875193,Private room,45,1,15,2018-10-21,2.98,7,84
25267672,**LUXURY SUPERHOST STAY IN THE HEART OF THE CITY**,168755034,Taylor,,Waterfront Communities-The Island,43.649846773108855,-79.38764233121653,Entire home/apt,199,2,19,2018-08-21,3.50,1,0
25269135,Pisces Toronto low ceiling unit,22092077,Tung & April,,South Riverdale,43.662201908140204,-79.33409609142066,Private room,68,1,13,2018-10-14,2.36,5,89
25277956,UTSC / Centennial Family Guest Room 2 and Home,99807446,Richard,,Highland Creek,43.78963324236494,-79.18482105559637,Private room,28,1,1,2018-05-31,0.19,3,0
25281413,6 Person 3 BR 2 Story Downtown Oasis With Parking,59920016,Liz,,South Parkdale,43.634942221205,-79.43106416327414,Entire home/apt,208,2,11,2018-10-07,3.17,2,24
25284394,Cozy Place In Toronto East. Midland RT Station 2ND,150008534,Ryan,,Bendale,43.76527021716225,-79.26837017289674,Private room,28,7,4,2018-10-02,1.35,2,353
25285441,Sunny townhouse: 2 bedrooms+2 sofas+2 bathrooms,23665569,Nadia,,Corso Italia-Davenport,43.67168694633737,-79.44935585076708,Entire home/apt,130,2,6,2018-09-17,1.54,2,32
25286314,Private room walk to subway station .(6),133256397,Sam,,Willowdale East,43.77281620237739,-79.40390906135343,Private room,29,7,1,2018-07-03,0.24,7,43
25288689,Cozy in the City,22094693,Amina,,Wychwood,43.6742325265353,-79.43445007484625,Entire home/apt,79,2,14,2018-11-01,2.58,2,89
25288923,"Separate unit, Bright & Modern Apt in Toronto",191033540,Emma,,Maple Leaf,43.71354376805061,-79.47997696577775,Entire home/apt,90,2,20,2018-10-23,3.70,1,21
25292491,"Your Toronto Adventure: SBA, HARBOURFRONT, UNION",18061579,Michael,,Waterfront Communities-The Island,43.64239457428062,-79.37803032096086,Entire home/apt,201,2,19,2018-10-20,3.77,1,62
