id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
3131577,private furnished room near downtown & the beaches,15902550,Tushar,,Greenwood-Coxwell,43.67108,-79.3242,Private room,47,1,80,2019-02-09,1.39,3,363
3139898,Trendy  2 level apt in a private duplex,15943061,Yasmin,,North Riverdale,43.66815,-79.35118,Entire home/apt,171,5,9,2018-10-29,0.16,1,308
3142411,"3 bd rm, charming home, nr subway",15955418,Tom,,Danforth East York,43.68964,-79.31783,Entire home/apt,125,5,9,2018-08-05,0.16,1,0
3152405,Penthouse Apartment Awesome View,15999017,Nelson,,Roncesvalles,43.63971,-79.44458,Entire home/apt,150,2,5,2018-09-23,0.11,1,0
3159794,Convenient Private Room in Little Italy,8638758,Abhishek,,Trinity-Bellwoods,43.65351,-79.42156,Private room,50,1,46,2018-10-02,1.98,1,146
3161306,Queen West Bright Clean Condo,8167018,Ashley,,Little Portugal,43.64116,-79.42348,Entire home/apt,125,5,73,2017-11-13,1.27,1,249
3162666,Cosy Queen W garden apt w/ parking,16044016,Elizabeth,,Niagara,43.64624,-79.40739,Entire home/apt,159,3,14,2018-09-28,0.32,1,109
3172930,Cozy Parkdale Room on Queen St in shared flat,8858716,Victoria,,South Parkdale,43.63934,-79.43612,Private room,42,3,37,2019-01-31,0.64,3,2
3175535,DWTN Toronto - Welcome to Fort York,14546081,Tim,,Niagara,43.6364,-79.40529,Entire home/apt,149,2,58,2018-10-20,1.02,1,168
3176828,Adorable Room with Parking at Toronto Downtown!,16109184,Emeli,,Church-Yonge Corridor,43.66914,-79.38093,Private room,64,1,135,2019-01-01,2.34,1,84
3186151,Quiet detached furnished bungalow,16153288,Sheila,,Danforth East York,43.69445,-79.31869,Entire home/apt,75,7,0,,,1,178
3197148,Entire place Beautiful  loft Apartment,16204072,Etai,,Mount Pleasant East,43.69556,-79.39174,Entire home/apt,121,4,2,2017-07-20,0.10,1,0
3197598,Spacious Loft in Historic King West,2475973,Sanam,,Waterfront Communities-The Island,43.64409,-79.39978,Entire home/apt,121,15,4,2018-07-01,0.12,1,293
3200370,Heart of Dn Tn T.O. Nr Eaton Center,1180733,Barry,,Church-Yonge Corridor,43.65983,-79.37725,Shared room,121,1,0,,,1,0
3207249,Modern & Chic Condo - Private Room,16249882,Jason,,North St.James Town,43.66976,-79.37525,Private room,64,5,0,,,1,0
