id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
4708835,Bright & modern 1 bdrm w/ balcony,24127866,Myle,,Waterfront Communities-The Island,43.64383545565938,-79.3972076959107,Entire home/apt,95,3,3,2018-03-28,0.08,1,0
4708992,Cozy Double Bed -Parking included. ,24338063,Raghu,,Cabbagetown-South St.James Town,43.66456621172213,-79.37616124145337,Private room,70,2,266,2018-07-01,6.21,1,0
4709371,City Centre 2 Bedroom Distillery,21245388,James & Julie,,Moss Park,43.65514641607295,-79.36002650239037,Entire home/apt,150,3,125,2018-07-30,2.84,13,46
4710136,Best West Queen West Home,1699308,Kfir And Devin,,Little Portugal,43.647434995799976,-79.42494389307251,Entire home/apt,98,2,5,2018-07-20,0.11,3,85
4710792,House - for learners and dreamers,24345657,Arkadi,,York University Heights,43.765970271963596,-79.50258553653921,Private room,49,1,0,,,1,229
4711223,Downtown Toronto -avail immediately,12015522,Patrick,,Dovercourt-Wallace Emerson-Junction,43.665169805185364,-79.4308129724342,Private room,100,14,0,,,1,0
4718693,Forest Hill House  2150 Square Feet Renovated.,24375483,David And Negar,,Forest Hill North,43.7051597823226,-79.41970572061287,Entire home/apt,248,4,12,2017-09-22,0.46,2,38
4719324,Toronto Stylish House in Queen West,5593837,Darya,,Trinity-Bellwoods,43.64850419805675,-79.40791161399356,Entire home/apt,225,2,67,2018-06-14,1.53,4,324
4719564,Charming flat in Cabbagetown,4042327,Andrew,,Cabbagetown-South St.James Town,43.66489442037824,-79.3693423874299,Private room,75,1,121,2018-08-06,3.47,1,2
4719568,Middle of it All,6391984,Kathryn,,Church-Yonge Corridor,43.65396461649411,-79.3748037588518,Entire home/apt,100,1,1,2016-11-01,0.05,1,228
4719774,Liberty Village Loft,20950437,Neha,,Niagara,43.63840255182697,-79.4155866839825,Entire home/apt,122,1,0,,,1,0
4719917,Pan Am Games 1 Bed Luxury Condo  ,24381731,David,,South Parkdale,43.636556341056554,-79.46569337850495,Entire home/apt,194,1,0,,,1,0
4728833,"Unique Historical Loft, Prime Location",3017936,Philippe,,Niagara,43.6422863171136,-79.41242574760538,Entire home/apt,141,3,17,2018-07-25,0.39,1,19
4729860,Cozy High Park private room ,7052964,Wally,,High Park North,43.657626126656204,-79.46801400586709,Private room,49,1,35,2016-09-20,0.89,1,0
4733208,"Beautiful Midtown, York Mills/404(溫馨民宿)",16853533,Tammy,,Parkwoods-Donalda,43.765889559688326,-79.33068507103367,Private room,46,1,125,2018-07-29,2.95,6,162
4739299,SPACIOUS 2 BEDRM IN GREAT LOCATION!,12795294,Zak,,Waterfront Communities-The Island,43.64087802652049,-79.38439791760624,Entire home/apt,199,1,290,2018-07-21,6.56,11,46
4744890,Spacious 1+Den in Downtown TO,3057402,Selina,,Niagara,43.637773971638495,-79.40024992925362,Entire home/apt,98,2,2,2015-08-02,0.05,1,0
